# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 1586  Weld ON: 1586  Weave: 1586  Patterns: Sine
# Phases: ACCEL: 267  CRUISE: 1050  DECEL: 266  STOP: 3

-76.385, 9.401, 26.607, 177.262, 62.861, -54.325, STOP, 243.11, -1037.02, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +0.00, +0.00, Lin 0-1 t=0.000 +Sine
-76.258, 9.478, 26.674, 177.240, 62.880, -54.190, ACCEL, 245.09, -1035.27, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +1.75, +0.00, Lin 0-1 t=0.011 +Sine
-76.137, 9.520, 26.710, 177.217, 62.891, -54.061, ACCEL, 247.06, -1034.18, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.84, +0.00, Lin 0-1 t=0.023 +Sine
-76.030, 9.492, 26.686, 177.196, 62.892, -53.945, ACCEL, 249.04, -1034.15, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.87, +0.00, Lin 0-1 t=0.034 +Sine
-75.937, 9.393, 26.601, 177.178, 62.882, -53.845, ACCEL, 251.01, -1035.18, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +1.84, +0.00, Lin 0-1 t=0.045 +Sine
-75.853, 9.248, 26.477, 177.161, 62.865, -53.754, ACCEL, 252.99, -1036.91, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +0.11, +0.00, Lin 0-1 t=0.057 +Sine
-75.771, 9.099, 26.349, 177.145, 62.848, -53.665, ACCEL, 254.97, -1038.67, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.65, +0.00, Lin 0-1 t=0.068 +Sine
-75.682, 8.989, 26.254, 177.127, 62.837, -53.568, ACCEL, 256.94, -1039.82, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.80, +0.00, Lin 0-1 t=0.080 +Sine
-75.578, 8.946, 26.218, 177.107, 62.836, -53.457, ACCEL, 258.92, -1039.92, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.90, +0.00, Lin 0-1 t=0.091 +Sine
-75.459, 8.975, 26.242, 177.085, 62.846, -53.330, ACCEL, 260.90, -1038.94, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.92, +0.00, Lin 0-1 t=0.102 +Sine
