# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 241  Weld ON: 0  Weave: 0
# Phases: ACCEL: 36  CRUISE: 167  DECEL: 36  STOP: 2

-96.393, 44.944, 61.542, 158.471, -17.602, 110.510, STOP, -61.58, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.000
-95.887, 45.006, 61.565, 160.011, -17.398, 109.047, ACCEL, -56.59, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.011
-95.372, 45.065, 61.587, 161.616, -17.201, 107.519, ACCEL, -51.61, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.021
-94.856, 45.119, 61.608, 163.263, -17.020, 105.950, ACCEL, -46.62, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.032
-94.339, 45.167, 61.626, 164.948, -16.855, 104.342, ACCEL, -41.64, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.042
-93.821, 45.210, 61.642, 166.669, -16.707, 102.698, ACCEL, -36.65, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.053
-93.303, 45.248, 61.656, 168.422, -16.577, 101.020, ACCEL, -31.67, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.063
-92.784, 45.280, 61.667, 170.205, -16.465, 99.314, ACCEL, -26.68, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.074
-92.265, 45.306, 61.677, 172.013, -16.371, 97.581, ACCEL, -21.70, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.084
-91.745, 45.328, 61.685, 173.842, -16.297, 95.828, ACCEL, -16.71, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.095
-91.225, 45.343, 61.691, 175.688, -16.241, 94.057, ACCEL, -11.73, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.105
-90.705, 45.353, 61.695, 177.546, -16.205, 92.275, ACCEL, -6.74, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.116
-90.185, 45.358, 61.697, 179.410, -16.189, 90.487, ACCEL, -1.76, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.126
-89.665, 45.357, 61.696, -178.725, -16.193, 88.696, ACCEL, 3.23, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.137
-89.144, 45.351, 61.694, -176.862, -16.216, 86.909, ACCEL, 8.21, -734.02, 956.72, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.147
