# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 200  Weld ON: 200  Weave: 167  Patterns: Circle
# Phases: ACCEL: 35  CRUISE: 146  DECEL: 17  STOP: 2

-128.683, -17.763, 121.270, -93.741, 110.332, -116.161, STOP, 298.32, 95.61, 756.93, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.000
-128.295, -17.853, 121.494, -93.616, 110.603, -116.515, ACCEL, 298.32, 98.99, 760.68, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.062
-127.905, -17.938, 121.724, -93.489, 110.880, -116.871, ACCEL, 298.32, 102.36, 764.43, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.125
-127.522, -18.017, 121.957, -93.368, 111.153, -117.224, CRUISE, 298.32, 105.74, 768.18, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.188
-127.145, -18.092, 122.191, -93.254, 111.424, -117.573, CRUISE, 298.32, 109.11, 771.93, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.250
-126.775, -18.161, 122.427, -93.145, 111.692, -117.918, CRUISE, 298.32, 112.49, 775.68, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.312
-126.411, -18.226, 122.665, -93.041, 111.956, -118.259, CRUISE, 298.32, 115.86, 779.43, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.375
-126.054, -18.285, 122.905, -92.944, 112.219, -118.598, CRUISE, 298.32, 119.24, 783.18, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.438
-125.702, -18.340, 123.146, -92.852, 112.478, -118.933, CRUISE, 298.32, 122.61, 786.93, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.500
-125.356, -18.391, 123.389, -92.764, 112.734, -119.265, CRUISE, 298.32, 125.99, 790.68, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.562
-125.017, -18.437, 123.634, -92.683, 112.988, -119.593, CRUISE, 298.32, 129.36, 794.43, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.625
-124.682, -18.479, 123.880, -92.606, 113.238, -119.919, CRUISE, 298.32, 132.74, 798.18, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.688
-124.354, -18.516, 124.127, -92.534, 113.486, -120.242, CRUISE, 298.32, 136.11, 801.93, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.750
-124.030, -18.549, 124.376, -92.466, 113.731, -120.562, CRUISE, 298.32, 139.49, 805.68, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.812
-123.712, -18.579, 124.627, -92.404, 113.973, -120.880, DECEL, 298.32, 142.86, 809.43, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.875
-123.399, -18.604, 124.879, -92.346, 114.212, -121.195, DECEL, 298.32, 146.24, 813.18, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=0.938
-123.092, -18.626, 125.133, -92.292, 114.449, -121.508, DECEL, 298.32, 149.61, 816.93, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Lin 0-1 t=1.000
-122.606, -18.910, 125.274, -92.209, 114.824, -121.993, ACCEL, 296.17, 151.72, 821.53, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Curve u=0.007
-122.167, -19.126, 125.434, -92.134, 115.167, -122.422, ACCEL, 294.49, 154.04, 825.76, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Curve u=0.015
-121.777, -19.274, 125.611, -92.068, 115.473, -122.794, ACCEL, 293.26, 156.53, 829.62, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Curve u=0.022
-121.437, -19.357, 125.804, -92.010, 115.742, -123.111, ACCEL, 292.46, 159.18, 833.13, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Curve u=0.029
-121.146, -19.382, 126.010, -91.960, 115.973, -123.376, ACCEL, 292.06, 161.97, 836.31, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Curve u=0.037
-120.902, -19.352, 126.228, -91.917, 116.168, -123.594, ACCEL, 292.06, 164.89, 839.17, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Curve u=0.044
-120.703, -19.273, 126.456, -91.881, 116.326, -123.766, ACCEL, 292.44, 167.92, 841.73, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Curve u=0.051
-120.549, -19.150, 126.693, -91.853, 116.450, -123.897, ACCEL, 293.16, 171.03, 843.99, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Curve u=0.059
-120.437, -18.986, 126.937, -91.832, 116.540, -123.990, ACCEL, 294.21, 174.22, 845.98, 72.49, -24.38, 45.38, 1, 50.0, 30.0, , +0.00, +0.00, Curve u=0.066
