# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 5499  Weld ON: 5499  Weave: 5499  Patterns: Circle
# Phases: ACCEL: 746  CRUISE: 3910  DECEL: 841  STOP: 2

-64.916, 22.536, 20.426, 161.798, 57.744, -38.891, STOP, 367.12, -899.70, 1340.24, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +0.00, +1.80, Lin 0-1 t=0.000 +Circle
-64.948, 22.349, 20.165, 161.832, 57.807, -38.953, ACCEL, 367.83, -902.24, 1342.70, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.52, +1.46, Lin 0-1 t=0.001 +Circle
-64.887, 22.392, 20.151, 161.802, 57.869, -38.901, ACCEL, 368.55, -903.39, 1344.76, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.70, +0.56, Lin 0-1 t=0.002 +Circle
-64.833, 22.395, 20.120, 161.774, 57.911, -38.852, ACCEL, 369.26, -902.71, 1345.63, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.71, -0.55, Lin 0-1 t=0.003 +Circle
-64.749, 22.465, 20.190, 161.721, 57.938, -38.759, ACCEL, 369.97, -900.45, 1344.99, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.54, -1.45, Lin 0-1 t=0.004 +Circle
-64.657, 22.535, 20.287, 161.659, 57.936, -38.648, ACCEL, 370.69, -897.48, 1343.08, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +0.03, -1.80, Lin 0-1 t=0.005 +Circle
-64.572, 22.605, 20.385, 161.597, 57.910, -38.536, ACCEL, 371.40, -894.93, 1340.62, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.50, -1.46, Lin 0-1 t=0.006 +Circle
-64.508, 22.639, 20.483, 161.547, 57.884, -38.448, ACCEL, 372.11, -893.77, 1338.55, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.69, -0.57, Lin 0-1 t=0.007 +Circle
-64.477, 22.597, 20.487, 161.519, 57.858, -38.396, ACCEL, 372.83, -894.44, 1337.67, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.72, +0.54, Lin 0-1 t=0.008 +Circle
-64.470, 22.486, 20.391, 161.512, 57.845, -38.384, ACCEL, 373.54, -896.69, 1338.30, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.57, +1.45, Lin 0-1 t=0.009 +Circle
-64.477, 22.376, 20.265, 161.518, 57.860, -38.396, ACCEL, 374.25, -899.66, 1340.21, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -0.05, +1.80, Lin 0-1 t=0.010 +Circle
-64.478, 22.266, 20.139, 161.524, 57.900, -38.408, ACCEL, 374.97, -902.22, 1342.66, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.48, +1.47, Lin 0-1 t=0.011 +Circle
-64.457, 22.189, 20.012, 161.517, 57.940, -38.396, ACCEL, 375.68, -903.39, 1344.73, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.69, +0.57, Lin 0-1 t=0.012 +Circle
-64.403, 22.190, 19.980, 161.490, 57.980, -38.348, ACCEL, 376.39, -902.73, 1345.63, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.73, -0.54, Lin 0-1 t=0.013 +Circle
-64.326, 22.258, 20.047, 161.440, 58.007, -38.260, ACCEL, 377.11, -900.49, 1345.01, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.59, -1.44, Lin 0-1 t=0.014 +Circle
-64.233, 22.327, 20.146, 161.378, 58.006, -38.148, ACCEL, 377.82, -897.52, 1343.11, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +0.08, -1.80, Lin 0-1 t=0.015 +Circle
-64.148, 22.395, 20.245, 161.315, 57.981, -38.036, ACCEL, 378.53, -894.96, 1340.65, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.46, -1.47, Lin 0-1 t=0.016 +Circle
-64.084, 22.430, 20.344, 161.266, 57.955, -37.948, ACCEL, 379.25, -893.77, 1338.57, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.68, -0.58, Lin 0-1 t=0.017 +Circle
-64.053, 22.388, 20.349, 161.237, 57.929, -37.895, ACCEL, 379.96, -894.42, 1337.67, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.74, +0.53, Lin 0-1 t=0.018 +Circle
-64.045, 22.279, 20.254, 161.231, 57.916, -37.885, ACCEL, 380.67, -896.65, 1338.28, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.61, +1.44, Lin 0-1 t=0.019 +Circle
-64.053, 22.169, 20.127, 161.238, 57.930, -37.898, ACCEL, 381.39, -899.62, 1340.17, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -0.11, +1.80, Lin 0-1 t=0.021 +Circle
-64.054, 22.060, 19.999, 161.245, 57.970, -37.911, ACCEL, 382.10, -902.19, 1342.63, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.44, +1.48, Lin 0-1 t=0.022 +Circle
-64.034, 21.982, 19.872, 161.239, 58.010, -37.901, ACCEL, 382.81, -903.39, 1344.71, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.67, +0.59, Lin 0-1 t=0.023 +Circle
-63.981, 21.981, 19.838, 161.212, 58.050, -37.854, ACCEL, 383.53, -902.75, 1345.63, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.74, -0.52, Lin 0-1 t=0.024 +Circle
-63.904, 22.048, 19.903, 161.163, 58.078, -37.766, ACCEL, 384.24, -900.53, 1345.03, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.63, -1.43, Lin 0-1 t=0.025 +Circle
-63.812, 22.115, 20.003, 161.100, 58.077, -37.653, ACCEL, 384.95, -897.57, 1343.14, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +0.13, -1.80, Lin 0-1 t=0.026 +Circle
-63.726, 22.182, 20.102, 161.038, 58.052, -37.541, ACCEL, 385.67, -894.99, 1340.68, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.41, -1.48, Lin 0-1 t=0.027 +Circle
-63.661, 22.218, 20.202, 160.988, 58.026, -37.451, ACCEL, 386.38, -893.78, 1338.60, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.66, -0.60, Lin 0-1 t=0.028 +Circle
-63.630, 22.177, 20.208, 160.959, 58.001, -37.399, ACCEL, 387.09, -894.40, 1337.67, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.75, +0.51, Lin 0-1 t=0.029 +Circle
-63.623, 22.068, 20.114, 160.953, 57.987, -37.389, ACCEL, 387.80, -896.61, 1338.26, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.65, +1.43, Lin 0-1 t=0.030 +Circle
-63.631, 21.960, 19.985, 160.961, 58.002, -37.403, ACCEL, 388.52, -899.57, 1340.14, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -0.16, +1.80, Lin 0-1 t=0.031 +Circle
-63.633, 21.851, 19.857, 160.969, 58.041, -37.418, ACCEL, 389.23, -902.16, 1342.59, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.39, +1.48, Lin 0-1 t=0.032 +Circle
-63.615, 21.772, 19.728, 160.964, 58.081, -37.409, ACCEL, 389.94, -903.38, 1344.69, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.65, +0.60, Lin 0-1 t=0.033 +Circle
-63.562, 21.770, 19.692, 160.938, 58.121, -37.364, ACCEL, 390.66, -902.78, 1345.62, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.76, -0.51, Lin 0-1 t=0.034 +Circle
-63.486, 21.835, 19.756, 160.889, 58.149, -37.275, ACCEL, 391.37, -900.57, 1345.04, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.67, -1.42, Lin 0-1 t=0.035 +Circle
-63.394, 21.901, 19.857, 160.826, 58.149, -37.162, ACCEL, 392.08, -897.61, 1343.17, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +0.19, -1.80, Lin 0-1 t=0.036 +Circle
-63.308, 21.966, 19.957, 160.763, 58.123, -37.049, ACCEL, 392.80, -895.02, 1340.72, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.37, -1.49, Lin 0-1 t=0.037 +Circle
-63.243, 22.002, 20.057, 160.713, 58.098, -36.958, ACCEL, 393.51, -893.78, 1338.62, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.64, -0.61, Lin 0-1 t=0.038 +Circle
-63.212, 21.962, 20.064, 160.684, 58.073, -36.906, ACCEL, 394.22, -894.38, 1337.67, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.77, +0.50, Lin 0-1 t=0.039 +Circle
-63.204, 21.854, 19.971, 160.679, 58.059, -36.897, ACCEL, 394.94, -896.57, 1338.24, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.69, +1.42, Lin 0-1 t=0.040 +Circle
